Seq	SIMBAD_ID	M	eM1	eM2	R	eR1	eR2	Teff	eTeff1	eTeff2	L	eL1	eL2	Meta	eMeta1	eMeta2	logg	elogg1	elogg2	rho	erho1	erho2	cutoff	class	type	pla	catalog	e_M	e_R	e_Teff	e_L	mode
43	CM_Lac A	1.971	0.06	0.06	1.509	0.03	0.03	9000	300	300	13.428	2.168	2.168	NA	NA	NA	4.37	0.02	0.02	NA	NA	NA	1.8946162	MS	A	NA	eker14	3.0441400304414	1.98807157057654	3.33333333333333	16.1453678879952	EB
44	CM_Lac B	1.503	0.1	0.1	1.549	0.03	0.03	4586	160	160	0.953	0.161	0.161	NA	NA	NA	4.23	0.03	0.03	NA	NA	NA	4.7879932	PMS	K	NA	eker14	6.65335994677312	1.93673337637185	3.48887919755778	16.894018887723	EB
45	CN_Lyn A	1.038	0.02	0.02	1.799	0.21	0.21	6500	250	250	5.188	2.006	2.006	NA	NA	NA	3.94	0.1	0.1	NA	NA	NA	3.5333662	MS	F	NA	eker14	1.92678227360308	11.6731517509728	3.84615384615385	38.6661526599846	EB
46	CN_Lyn B	1.038	0.02	0.02	1.839	0.24	0.24	6455	260	260	5.272	2.331	2.331	NA	NA	NA	3.93	0.11	0.11	NA	NA	NA	3.5628637	MS	F	NA	eker14	1.92678227360308	13.0505709624796	4.0278853601859	44.2147192716237	EB
47	CO_And A	1.289	0.007	0.007	1.727	0.021	0.021	6140	130	130	3.802	0.367	0.367	0.01	0.15	0.15	4.074	0.011	0.011	NA	NA	NA	3.7693462	MS	F	NA	eker14	0.543056633048875	1.21598147075854	2.11726384364821	9.65281430825881	EB
48	CO_And B	1.264	0.007	0.007	1.694	0.017	0.017	6170	130	130	3.733	0.351	0.351	0.01	0.15	0.15	4.082	0.009	0.009	NA	NA	NA	3.7496812	MS	F	NA	eker14	0.55379746835443	1.00354191263282	2.10696920583468	9.40262523439593	EB
49	CV_Boo A	1.045	0.013	0.013	1.269	0.023	0.023	5760	150	150	1.592	0.198	0.198	NA	NA	NA	4.249	0.016	0.016	NA	NA	NA	4.0184362	MS	G	NA	eker14	1.24401913875598	1.81245074862096	2.60416666666667	12.4371859296482	EB
50	CV_Boo B	0.995	0.012	0.012	1.18	0.023	0.023	5670	150	150	1.291	0.164	0.164	NA	NA	NA	4.285	0.017	0.017	NA	NA	NA	4.0774312	MS	G	NA	eker14	1.20603015075377	1.94915254237288	2.64550264550265	12.7033307513555	EB
51	CW_CMa A	2.092	0.015	0.015	1.885	0.038	0.038	10186	480	480	34.356	6.949	6.949	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.1171932	MS	B	NA	malkov07	0.717017208413002	2.0159151193634	4.7123502847045	20.2264524391664	EB
52	CW_CMa B	1.977	0.016	0.016	1.789	0.072	0.072	9772	508	508	26.062	5.271	5.271	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.3885702	MS	A	NA	malkov07	0.809307030854831	4.02459474566797	5.1985264019648	20.2248484383393	EB
53	CW_Eri A	1.583	0.02	0.02	2.093	0.05	0.05	6840	86	86	8.61	0.637	0.637	NA	NA	NA	3.98794245818498	0.0214630721781817	0.0214630721781817	NA	NA	NA	3.3104962	MS	F	NA	eker14	1.26342387871131	2.38891543239369	1.25730994152047	7.39837398373984	EB
54	CW_Eri B	1.327	0.01	0.01	1.569	0.07	0.07	6561	100	100	4.093	0.499	0.499	NA	NA	NA	4.16162503569056	0.0388895332421045	0.0388895332421045	NA	NA	NA	3.4933807	MS	F	NA	eker14	0.753579502637528	4.46144040790312	1.52415790275873	12.1915465428781	EB
55	DM_Vir A	1.454	0.008	0.008	1.764	0.017	0.017	6500	100	100	4.989	0.345	0.345	NA	NA	NA	4.108	0.009	0.009	NA	NA	NA	3.5333662	MS	F	NA	eker14	0.550206327372765	0.963718820861678	1.53846153846154	6.91521346963319	EB
56	DM_Vir B	1.448	0.008	0.008	1.764	0.017	0.017	6500	300	300	4.989	0.332	0.332	NA	NA	NA	4.106	0.008	0.008	NA	NA	NA	3.5333662	MS	F	NA	torres10	0.552486187845304	0.963718820861678	4.61538461538462	6.65464020845861	EB
57	DV_Psc A	0.677	0.019	0.02	0.685	0.03	0.03	4450	8	8	0.165	0.016	0.016	NA	NA	NA	4.58920752570029	0.0399453414433454	0.0401457294805825	NA	NA	NA	4.8771412	PMS	K	NA	eker14	2.88035450516987	4.37956204379562	0.179775280898876	9.6969696969697	EB
58	EE_Peg A	2.151	0.024	0.024	2.09	0.025	0.025	8700	200	200	22.491	2.227	2.227	NA	NA	NA	4.131	0.01	0.01	NA	NA	NA	2.0912662	MS	A	NA	torres10	1.11576011157601	1.19617224880383	2.29885057471264	9.90173847316705	EB
59	EE_Peg B	1.332	0.01	0.01	1.321	0.01	0.01	6450	300	300	2.71	0.624	0.624	NA	NA	NA	4.33	0.01	0.01	NA	NA	NA	3.5661412	MS	F	NA	eker14	0.750750750750751	0.757002271006813	4.65116279069767	23.0258302583026	EB
60	EF_Aqr A	1.244	0.008	0.008	1.338	0.012	0.012	6150	65	65	2.301	0.108	0.108	0	0.1	0.1	4.28	0.007	0.007	NA	NA	NA	3.7627912	MS	F	NA	eker14	0.643086816720257	0.896860986547085	1.05691056910569	4.69361147327249	EB
61	EF_Aqr B	0.946	0.006	0.006	0.956	0.012	0.012	5185	110	110	0.593	0.057	0.057	0	0.1	0.1	4.453	0.011	0.011	NA	NA	NA	4.3953487	MS	K	NA	eker14	0.634249471458774	1.25523012552301	2.12150433944069	9.61214165261383	EB
62	EG_Ser A	2.2	0.05	0.05	1.689	0.01	0.01	9900	200	200	24.604	2.188	2.188	NA	NA	NA	4.3	0.1	0.1	NA	NA	NA	1.3046662	MS	A	NA	eker14	2.27272727272727	0.59206631142688	2.02020202020202	8.89286294911397	EB
63	EG_Ser B	1.99	0.03	0.03	1.549	0.01	0.01	9100	200	200	14.757	1.424	1.424	NA	NA	NA	4.36	0.08	0.08	NA	NA	NA	1.8290662	MS	A	NA	eker14	1.50753768844221	0.645577792123951	2.1978021978022	9.64965778952362	EB
64	EI_Cep A	1.772	0.007	0.007	2.898	0.048	0.048	6750	100	100	15.668	1.159	1.159	NA	NA	NA	3.763	0.014	0.014	NA	NA	NA	3.3694912	MS	F	NA	eker14	0.395033860045147	1.65631469979296	1.48148148148148	7.39724278784784	EB
65	EI_Cep B	1.68	0.006	0.006	2.33	0.044	0.044	6950	100	100	11.376	0.842	0.842	NA	NA	NA	3.929	0.016	0.016	NA	NA	NA	3.2383912	MS	F	NA	eker14	0.357142857142857	1.88841201716738	1.43884892086331	7.40154711673699	EB
66	EK_Cep A	2.024	0.02	0.02	1.579	0.015	0.015	9000	200	200	14.689	1.454	1.454	0.07	0.05	0.05	4.35	0.015	0.015	NA	NA	NA	1.8946162	MS	A	NA	eker14	0.988142292490119	0.949968334388854	2.22222222222222	9.8985635509565	EB
67	EK_Cep B	1.122	0.01	0.01	1.315	0.015	0.015	5700	190	190	1.641	0.256	0.256	0.07	0.05	0.05	4.251	0.015	0.015	NA	NA	NA	4.0577662	MS	G	NA	eker14	0.89126559714795	1.14068441064639	3.33333333333333	15.6002437538087	EB
68	ER_Vul A	1.093	0.07	0.07	1.161	0.06	0.06	6000	52	52	1.567	0.191	0.191	NA	NA	NA	4.33895572247256	0.0528069620912188	0.0528069620912188	NA	NA	NA	3.8611162	MS	F	NA	eker14	6.40439158279963	5.16795865633075	0.866666666666667	12.1888959795788	EB
69	ER_Vul B	1.055	0.06	0.06	1.181	0.14	0.14	5883	52	52	1.5	0.473	0.473	NA	NA	NA	4.30875266440668	0.105886637734529	0.105886637734529	NA	NA	NA	3.9378097	MS	G	NA	eker14	5.68720379146919	11.8543607112616	0.883902770695224	31.5333333333333	EB
70	EW_Ori A	1.173	0.011	0.011	1.169	0.005	0.005	6070	95	95	1.667	0.111	0.111	0.05	0.09	0.09	4.372	0.005	0.005	NA	NA	NA	3.8152312	MS	F	NA	eker14	0.937766410912191	0.427715996578272	1.56507413509061	6.65866826634673	EB
71	EW_Ori B	1.123	0.009	0.009	1.098	0.005	0.005	5900	95	95	1.312	0.091	0.091	0.05	0.09	0.09	4.408	0.005	0.005	NA	NA	NA	3.9266662	MS	G	NA	eker14	0.801424755120214	0.455373406193078	1.61016949152542	6.9359756097561	EB
72	EY_Cep A	1.524	0.008	0.008	1.463	0.01	0.01	7090	150	150	4.853	0.456	0.456	NA	NA	NA	4.29	0.006	0.006	NA	NA	NA	3.1466212	MS	F	NA	eker14	0.5249343832021	0.683526999316473	2.11565585331453	9.39624974242736	EB
73	EY_Cep B	1.5	0.014	0.014	1.468	0.01	0.01	6970	150	150	4.571	0.441	0.441	NA	NA	NA	4.28	0.006	0.006	NA	NA	NA	3.2252812	MS	F	NA	eker14	0.933333333333333	0.681198910081744	2.15208034433286	9.64777947932619	EB
74	FL_Lyr A	1.218	0.016	0.016	1.282	0.03	0.03	6150	100	100	2.109	0.182	0.182	NA	NA	NA	4.31	0.02	0.02	NA	NA	NA	3.7627912	MS	F	NA	eker14	1.3136288998358	2.34009360374415	1.6260162601626	8.62968231389284	EB
75	FL_Lyr B	0.958	0.012	0.012	0.962	0.028	0.028	5300	100	100	0.656	0.065	0.065	NA	NA	NA	4.453	0.025	0.025	NA	NA	NA	4.3199662	MS	G	NA	torres10	1.25260960334029	2.91060291060291	1.88679245283019	9.90853658536585	EB
76	FM_Leo A	1.318	0.007	0.007	1.649	0.043	0.043	6316	240	240	3.882	0.742	0.742	NA	NA	NA	4.124	0.023	0.023	NA	NA	NA	3.6539782	MS	F	NA	eker14	0.531107738998483	2.60764099454215	3.79987333755542	19.1138588356517	EB
77	FM_Leo B	1.287	0.007	0.007	1.512	0.049	0.049	6190	211	211	3.013	0.535	0.535	NA	NA	NA	4.189	0.028	0.028	NA	NA	NA	3.7365712	MS	F	NA	eker14	0.543900543900544	3.24074074074074	3.40872374798061	17.756388981082	EB
78	FS_Mon A	1.632	0.012	0.012	2.061	0.012	0.012	6715	100	100	7.762	0.498	0.498	NA	NA	NA	4.026	0.005	0.005	NA	NA	NA	3.3924337	MS	F	NA	eker14	0.735294117647059	0.582241630276565	1.48920327624721	6.41587219788714	EB
79	FS_Mon B	1.462	0.01	0.01	1.637	0.012	0.012	6550	100	100	4.426	0.295	0.295	NA	NA	NA	4.179	0.006	0.006	NA	NA	NA	3.5005912	MS	F	NA	eker14	0.683994528043776	0.733048259010385	1.52671755725191	6.66516041572526	EB
80	FT_Ori A	2.168	0.022	0.022	1.871	0.013	0.013	9600	400	400	26.669	5.32	5.32	NA	NA	NA	4.237	0.006	0.006	NA	NA	NA	1.5013162	MS	A	NA	eker14	1.01476014760148	0.694815606627472	4.16666666666667	19.9482545277288	EB
81	FT_Ori B	1.773	0.02	0.02	1.626	0.013	0.013	8600	300	300	12.972	2.129	2.129	NA	NA	NA	4.272	0.007	0.007	NA	NA	NA	2.1568162	MS	A	NA	eker14	1.12803158488438	0.799507995079951	3.48837209302326	16.4122725871107	EB
82	GG_Lup B	2.509	0.024	0.024	1.725	0.019	0.019	10990	624	624	38.905	10.073	10.073	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.590171199999999	MS	B	NA	malkov07	0.956556396970905	1.10144927536232	5.6778889899909	25.8912736152166	EB
83	GG_Ori A	2.342	0.016	0.016	1.852	0.025	0.025	9950	200	200	30.2	2.761	2.761	NA	NA	NA	4.272	0.012	0.012	0.368581776862439	0.0149137135146652	0.0149137135146652	1.2718912	MS	A	NA	eker14	0.683176771989752	1.34989200863931	2.01005025125628	9.14238410596027	EB
84	GG_Ori B	2.337	0.017	0.017	1.83	0.025	0.025	9950	200	200	29.444	2.766	2.766	NA	NA	NA	4.282	0.012	0.012	0.381364959875009	0.0156238903486968	0.0156238903486968	1.2718912	MS	A	NA	eker14	0.727428326914848	1.36612021857923	2.01005025125628	9.39410406194811	EB
85	GX_Gem A	1.488	0.011	0.011	2.334	0.012	0.012	6194	100	100	7.194	0.497	0.497	-0.12	0.1	0.1	3.887	0.004	0.004	NA	NA	NA	3.7339492	MS	F	NA	eker14	0.739247311827957	0.51413881748072	1.61446561188247	6.90853489018627	EB
86	GX_Gem B	1.467	0.01	0.01	2.244	0.012	0.012	6166	100	100	6.531	0.467	0.467	-0.12	0.1	0.1	3.904	0.005	0.005	NA	NA	NA	3.7523032	MS	F	NA	eker14	0.681663258350375	0.53475935828877	1.62179695102173	7.15051293829429	EB
87	GZ_CMa A	2.201	0.025	0.025	2.49	0.03	0.03	8810	350	350	33.497	6.406	6.406	NA	NA	NA	3.99	0.01	0.01	NA	NA	NA	2.0191612	MS	A	NA	eker14	1.13584734211722	1.20481927710843	3.9727582292849	19.1241006657313	EB
88	GZ_CMa B	2.001	0.025	0.025	2.13	0.04	0.04	8531	340	340	21.577	4.245	4.245	NA	NA	NA	4.08	0.015	0.015	NA	NA	NA	2.2020457	MS	A	NA	eker14	1.24937531234383	1.87793427230047	3.98546477552456	19.6737266533809	EB
89	HP_Aur A	0.959	0.011	0.011	1.052	0.012	0.012	5790	80	80	1.117	0.072	0.072	NA	NA	NA	4.375	0.009	0.009	NA	NA	NA	3.9987712	MS	G	NA	eker14	1.14702815432742	1.14068441064639	1.38169257340242	6.44583706356311	EB
90	HP_Aur B	0.807	0.01	0.01	0.823	0.009	0.009	5270	90	90	0.469	0.036	0.036	NA	NA	NA	4.514	0.011	0.011	NA	NA	NA	4.3396312	MS	G	NA	eker14	1.23915737298637	1.09356014580802	1.70777988614801	7.67590618336887	EB
91	HP_Dra A	1.056	0.005	0.005	1.34	0.012	0.012	6000	150	150	2.089	0.239	0.239	NA	NA	NA	4.218	0.01	0.01	NA	NA	NA	3.8611162	MS	F	NA	eker14	0.473484848484849	0.895522388059701	2.5	11.4408808042125	EB
92	HP_Dra B	1.024	0.007	0.007	1.028	0.01	0.01	5895	150	150	1.146	0.134	0.134	NA	NA	NA	4.433	0.011	0.011	NA	NA	NA	3.9299437	MS	G	NA	eker14	0.68359375	0.972762645914397	2.54452926208651	11.6928446771379	EB
93	HS_Aur A	0.898	0.019	0.019	1.005	0.023	0.023	5350	70	70	0.743	0.055	0.055	-0.01	0.01	0.01	4.39	0.02	0.02	NA	NA	NA	4.2871912	MS	G	NA	eker14	2.11581291759465	2.28855721393035	1.30841121495327	7.40242261103634	EB
94	HS_Aur B	0.877	0.017	0.017	0.874	0.03	0.03	5200	72	72	0.501	0.048	0.048	-0.01	0.01	0.01	4.5	0.03	0.03	NA	NA	NA	4.3855162	MS	G	NA	eker14	1.93842645381984	3.4324942791762	1.38461538461538	9.58083832335329	EB
95	HS_Hya A	1.255	0.008	0.008	1.278	0.007	0.007	6500	50	50	2.618	0.086	0.086	NA	NA	NA	4.326	0.006	0.006	NA	NA	NA	3.5333662	MS	F	NA	eker14	0.637450199203187	0.54773082942097	0.769230769230769	3.28495034377387	EB
96	HS_Hya B	1.219	0.007	0.007	1.22	0.007	0.007	6400	50	50	2.244	0.079	0.079	NA	NA	NA	4.354	0.006	0.006	NA	NA	NA	3.5989162	MS	F	NA	eker14	0.574241181296144	0.573770491803279	0.78125	3.5204991087344	EB
97	HW_CMa A	1.779	0.012	0.012	1.668	0.021	0.021	7700	150	150	8.79	0.782	0.782	0.28	0.1	0.1	4.247	0.011	0.011	NA	NA	NA	2.7467662	MS	A	NA	eker14	0.674536256323777	1.2589928057554	1.94805194805195	8.89647326507395	EB
98	HW_CMa B	1.719	0.011	0.011	1.649	0.018	0.018	7560	150	150	7.98	0.71	0.71	0.33	0.1	0.1	4.242	0.01	0.01	NA	NA	NA	2.8385362	MS	A	NA	eker14	0.639906922629436	1.09157064887811	1.98412698412698	8.89724310776942	EB
99	IM_Vir A	0.981	0.012	0.012	1.062	0.016	0.016	5570	100	100	0.975	0.082	0.082	-0.1	0.25	0.25	4.379	0.014	0.014	NA	NA	NA	4.1429812	MS	G	NA	eker14	1.22324159021407	1.50659133709981	1.79533213644524	8.41025641025641	EB
